R1-R2,odometry,500,6,1568829040388663254,286.427
R1-R2,odometry,500,7,1568829040488661144,322.829
R1-R2,odometry,500,8,1568829040588664743,323.457
R1-R2,odometry,500,9,1568829040688654438,342.481
R1-R3,odometry,500,9,1568829040688654438,362.372
R1-R2,odometry,500,10,1568829040788659946,313.366
R1-R3,odometry,500,10,1568829040788659946,321.572
R1-R2,odometry,500,11,1568829040888663695,267.027
R1-R3,odometry,500,11,1568829040888663695,275.689
R1-R2,odometry,500,12,1568829040988657926,417.862
R1-R3,odometry,500,12,1568829040988657926,429.828
R1-R2,odometry,500,13,1568829041088681373,347.879
R1-R3,odometry,500,13,1568829041088681373,360.176
R1-R2,odometry,500,14,1568829041188656444,289.925
R1-R3,odometry,500,14,1568829041188656444,309.247
R1-R2,odometry,500,15,1568829041288688556,301.867
R1-R3,odometry,500,15,1568829041288688556,308.641
R1-R4,odometry,500,15,1568829041288688556,326.702
R1-R2,odometry,500,16,1568829041388655521,264.629
R1-R3,odometry,500,16,1568829041388655521,281.616
R1-R4,odometry,500,16,1568829041388655521,301.615
R1-R2,odometry,500,17,1568829041488696265,251.273
R1-R3,odometry,500,17,1568829041488696265,278.464
R1-R4,odometry,500,17,1568829041488696265,301.297
R1-R2,odometry,500,18,1568829041588648307,215.085
R1-R3,odometry,500,18,1568829041588648307,226.658
R1-R4,odometry,500,18,1568829041588648307,241.063
R1-R2,odometry,500,19,1568829041688643160,177.025
R1-R3,odometry,500,19,1568829041688643160,189.579
R1-R4,odometry,500,19,1568829041688643160,205.521
R1-R2,odometry,500,20,1568829041788667402,112.654
R1-R3,odometry,500,20,1568829041788667402,127.614
R1-R4,odometry,500,20,1568829041788667402,148.958
R1-R2,odometry,500,21,1568829041888649651,69.6245
R1-R3,odometry,500,21,1568829041888649651,79.2385
R1-R4,odometry,500,21,1568829041888649651,97.9756
R1-R2,odometry,500,22,1568829041988649690,47.7454
R1-R3,odometry,500,22,1568829041988649690,61.501
R1-R4,odometry,500,22,1568829041988649690,73.1188
R1-R5,odometry,500,22,1568829041988649690,89.569
R1-R2,odometry,500,23,1568829042088648100,50.4945
R1-R3,odometry,500,23,1568829042088648100,67.079
R1-R4,odometry,500,23,1568829042088648100,85.3665
R1-R5,odometry,500,23,1568829042088648100,102.663
R1-R2,odometry,500,24,1568829042188673870,41.3866
R1-R3,odometry,500,24,1568829042188673870,53.7465
R1-R4,odometry,500,24,1568829042188673870,68.8282
R1-R5,odometry,500,24,1568829042188673870,79.1942
R1-R2,odometry,500,25,1568829042288692594,0.834497
R1-R3,odometry,500,25,1568829042288692594,11.1804
R1-R4,odometry,500,25,1568829042288692594,20.9309
R1-R5,odometry,500,25,1568829042288692594,27.9559
R1-R2,odometry,500,26,1568829042388678384,1.01468
R1-R3,odometry,500,26,1568829042388678384,15.3971
R1-R4,odometry,500,26,1568829042388678384,30.4376
R1-R5,odometry,500,26,1568829042388678384,39.6221
R1-R2,odometry,500,27,1568829042488693176,1.25229
R1-R3,odometry,500,27,1568829042488693176,17.043
R1-R4,odometry,500,27,1568829042488693176,26.2272
R1-R5,odometry,500,27,1568829042488693176,35.643
R1-R2,odometry,500,28,1568829042588666932,1.29339
R1-R3,odometry,500,28,1568829042588666932,17.4123
R1-R4,odometry,500,28,1568829042588666932,23.0308
R1-R5,odometry,500,28,1568829042588666932,34.039
R1-R2,odometry,500,29,1568829042688689208,1.26992
R1-R3,odometry,500,29,1568829042688689208,16.7085
R1-R4,odometry,500,29,1568829042688689208,24.2001
R1-R5,odometry,500,29,1568829042688689208,29.9184
R1-R2,odometry,500,30,1568829042788679707,1.50927
R1-R3,odometry,500,30,1568829042788679707,13.9643
R1-R4,odometry,500,30,1568829042788679707,27.8467
R1-R5,odometry,500,30,1568829042788679707,33.9541
R1-R2,odometry,500,31,1568829042888699355,1.57404
R1-R3,odometry,500,31,1568829042888699355,12.0104
R1-R4,odometry,500,31,1568829042888699355,18.1479
R1-R5,odometry,500,31,1568829042888699355,28.7563
R1-R2,odometry,500,32,1568829042988667381,1.4171
